x,y,z,id,stress_xx
400,-6300,0,6312.6856408347,-161406843.94159
400,-5500,0,5514.5262715849,-140144535.93994
400,-600,0,721.1102550928,-15780791.69426
400,-6100,0,6113.1006862312,-156516184.27975
400,-7800,0,7810.2496759067,-200396435.13696
400,-8700,0,8709.1905479212,-221325271.07814
400,-7100,0,7111.2586790244,-180242860.89671
400,-9000,0,9008.8845036442,-231474389.54812
400,-9500,0,9508.4173236139,-242277106.31632
400,-4100,0,4119.4659848092,-104260598.36172
400,-1700,0,1746.4249196573,-42393960.38429
400,-4300,0,4318.5645763378,-110170502.46077
400,-3000,0,3026.5491900843,7233902
400,-2300,0,2334.5235059858,-58286488.728882
400,-4000,0,4019.9502484484,-101625828.91662
400,-1400,0,1456.0219778561,-34628412.244853
400,-2600,0,2630.5892875932,7233902
400,-6700,0,6711.9296778199,-172904116.20818
400,-7200,0,7211.102550928,-184264123.35226
400,-7400,0,7410.8029254596,-188030222.40081
400,-1100,0,1170.469991072,-26875806.056473
400,-3100,0,3125.6999216176,7233902
400,-9200,0,9208.6915465771,-231474389.54812
400,-3800,0,3820.9946349086,-95247535.134183
400,-3700,0,3721.5588131857,-93939598.418195
400,-3500,0,3522.7829907617,-87885872.903868
400,-1600,0,1649.2422502471,-40505527.828178
400,-100,0,412.31056256177,-2555403.0357009
400,-3400,0,3423.4485537247,7233902
400,-4200,0,4219.0046219458,-105911296.68999
400,-1800,0,1843.9088914586,-44791499.08112
400,-8000,0,8009.9937578003,-200396435.13696
400,-7500,0,7510.6590922502,-192147877.20304
400,-2500,0,2531.7977802344,-63314097.230923
400,-2200,0,2236.0679774998,-55854604.641958
400,-6500,0,6512.296062066,-166543208.68297
400,-1300,0,1360.1470508735,-33355527.098834
400,-4800,0,4816.6378315169,-122398615.27085
400,-6600,0,6612.1101019266,-166543208.68297
400,-2900,0,2927.4562336609,7233902
400,-4900,0,4916.2994213127,-124974390.72402
400,-6900,0,6911.584478251,-176359323.36791
400,-900,0,984.88578017961,-22132562.217992
400,-7700,0,7710.3826104805,-195632195.15903
400,0,0,400,-835061.6722253
400,-9300,0,9308.5981758802,-237381068.19223
400,-2800,0,2828.4271247462,7233902
400,-5000,0,5015.9744815938,-127401304.13196
400,-5200,0,5215.3619241621,-132315431.01067
400,-5800,0,5813.7767414995,-145520440.30901
400,-8800,0,8809.0862182181,-221325271.07814
400,-2000,0,2039.6078054371,-49680127.581096
400,-7300,0,7310.9506905737,-184264123.35226
400,-3200,0,3224.9030993194,7233902
400,-5700,0,5714.0178508647,-145520440.30901
400,-3300,0,3324.1540277189,7233902
400,-7900,0,7910.120100226,-200396435.13696
400,-2700,0,2729.4688127912,7233902
400,-6400,0,6412.4878167526,-163792178.47392
400,-8900,0,8908.984229417,-226409494.49317
400,-1000,0,1077.0329614269,-25006714.317828
400,-9900,0,9908.0775128175,-251933570.13387
400,-2100,0,2137.7558326432,-53485963.908336
400,-8400,0,8409.5184166515,-211925290.93994
400,-8600,0,8609.2973000124,-221325271.07814
400,-4700,0,4716.9905660283,-118838308.27307
400,-800,0,894.42719099992,-20009736.598611
400,-7000,0,7011.4192571832,-180242860.89671
400,-6800,0,6811.7545463706,-172904116.20818
